pitch_arsenals
last_name, first_name,ff_avg_speed,injury
Eflin, Zach,93.1,1
Alexander, Jason,93.1,0
Rodriguez, Elvin,93.1,0
Wesneski, Hayden,93.1,0
Toussaint, Touki,93.1,0
Ruiz, Norge,93.1,0
Vieaux, Cam,93.1,0
Montgomery, Jordan,93,0
Lynn, Lance,93,0
Wacha, Michael,93,0
Archer, Chris,93,0
Heaney, Andrew,93,0
Tate, Dillon,93,0
Acevedo, Domingo,93,0
Castillo, Max,93,0
Paddack, Chris,93,0
Bolaños, Ronald,93,0
Diplán, Marcos,93,0
